timestamp,air_humidity
1658754000,43.8
1658757600,46.6
1658761200,51.9
1658764800,54.35
1658768400,53.65
1658772000,62.65
1658775600,69.6
1658779200,75.15
1658782800,76.6
1658786400,70.1
1658790000,63.65
1658793600,67.05
1658797200,68.15
1658800800,70.2
1658804400,71.35
1658808000,72.8
1658811600,69.75
1658815200,63.7
1658818800,58
1658822400,54.45
1658826000,53.5
1658829600,50.8
1658833200,49.45
1658836800,51.35
1658840400,57.15
1658844000,61.45
1658847600,61.45
1658851200,63.45
1658854800,64.95
1658858400,72.15
1658862000,80.3
1658865600,85.15
1658869200,87.55
1658872800,89.75
1658876400,91.65
1658880000,93
1658883600,93.25
1658887200,93.05
1658890800,83.9
1658894400,81.8
1658898000,77.65
1658901600,76.15
1658905200,71.65
1658908800,69.65
1658912400,66.05
1658916000,63.4
1658919600,61.95
1658923200,57.95
1658926800,55.1
1658930400,55.3
1658934000,51.3
1658937600,50.95
1658941200,51.95
1658944800,56.95
1658948400,64.65
1658952000,74.25
1658955600,76.75
1658959200,82.05
1658962800,83.1
1658966400,85.2
1658970000,84.3
1658973600,83.8
1658977200,84
1658980800,83.85
1658984400,76.95
1658988000,69.5
1658991600,65.15
1658995200,64.75
1658998800,63.5
1659002400,61.3
1659006000,58.35
1659009600,54.9
1659013200,52.15
1659016800,51.65
1659020400,51.85
1659024000,55.45
1659027600,55.9
1659031200,63.15
1659034800,77.5
1659038400,78.75
1659042000,77.1
1659045600,79.25
1659049200,81.65
1659052800,83.15
1659056400,84
1659060000,86
1659063600,86.45
1659067200,85.2
1659070800,78.2
1659074400,69.65
1659078000,64.15
1659081600,62
1659085200,59.75
1659088800,55.2
1659092400,53.5
1659096000,50.05
1659099600,47.3
1659103200,54.15
1659106800,62.05
1659110400,71.95
1659114000,74.85
1659117600,78.3
1659121200,85.55
1659124800,78.8
1659128400,77.85
1659132000,77.25
1659135600,78.3
1659139200,81.05
1659142800,82.85
1659146400,84.6
1659150000,88.9
1659153600,90.1
1659157200,86.6
1659160800,78.05
1659164400,67.35
1659168000,63.45
1659171600,61.95
1659175200,57.9
1659178800,54.9
1659182400,50.05
1659186000,45.5
1659189600,45.35
1659193200,45.4
1659196800,48.6
1659200400,47.8
1659204000,52.1
1659207600,65.55
1659211200,78.5
1659214800,79
1659218400,75.85
1659222000,73.4
1659225600,71.55
1659229200,69.85
1659232800,68.9
1659236400,68.1
1659240000,68.3
1659243600,62.3
1659247200,56.9
1659250800,51.05
1659254400,51.15
1659258000,46.45
1659261600,42.25
1659265200,39.6
1659268800,38.5
1659272400,35.95
1659276000,34.7
1659279600,34
1659283200,36.55
1659286800,39.1
1659290400,49.25
1659294000,61.6
1659297600,63.6
1659301200,60.1
1659304800,58.45
1659308400,58.55
1659312000,58.9
1659315600,59.45
1659319200,59
1659322800,58.85
1659326400,58.25
1659330000,53.75
1659333600,49.6
1659337200,44.2
1659340800,43.45
1659344400,42.6
1659348000,40.35
1659351600,36.9
1659355200,35.45
1659358800,34.2
1659362400,35.2
1659366000,36.25
1659369600,36.85
1659373200,38.15
1659376800,45.25
1659380400,61.95
1659384000,66
1659387600,66.65
1659391200,62.95
1659394800,59.95
1659398400,59.95
1659402000,60.7
1659405600,59.1
1659409200,63.8
1659412800,68.1
1659416400,65.6
1659420000,69.9
1659423600,70.5
1659427200,63.5
1659430800,61.55
1659434400,59.75
1659438000,54.95
1659441600,50.95
1659445200,48.25
1659448800,48.85
1659452400,48.35
1659456000,51.1
1659459600,56.75
1659463200,62.8
1659466800,72.3
1659470400,81.25
1659474000,85.85
1659477600,87.25
1659481200,86.4
1659484800,86.7
1659488400,87.1
1659492000,87.45
1659495600,88.05
1659499200,88.2
1659502800,81.45
1659506400,73.9
1659510000,61.5
1659513600,55
1659517200,50.4
1659520800,47.95
1659524400,44.05
1659528000,42.1
1659531600,40.65
1659535200,39.65
1659538800,42.6
1659542400,44.1
1659546000,45
1659549600,51.8
1659553200,68
1659556800,70.95
1659560400,69.4
1659564000,72.7
1659567600,72.4
1659571200,73.8
1659574800,72.85
1659578400,72.35
1659582000,71.3
1659585600,70.6
1659589200,63.95
1659592800,56.5
1659596400,48.85
1659600000,47.25
1659603600,45.8
1659607200,42.9
1659610800,40.55
1659614400,38.5
1659618000,38.15
1659621600,38.65
1659625200,38.75
1659628800,39.15
1659632400,41
1659636000,48.4
1659639600,64.3
1659643200,70.05
1659646800,67.25
1659650400,65.35
1659654000,65.95
1659657600,66.85
1659661200,66.75
1659664800,65.8
1659668400,65.55
